"";"Country.Region";"Lat";"Long";"date";"name";"confirmed";"death";"recovered"
"203";"Albania";41,1533;20,1683;2020-05-01;"Albania";9;0;18
"204";"Albania";41,1533;20,1683;2020-05-02;"Albania";7;0;31
"205";"Algeria";28,0339;1,6596;2020-01-22;"Algeria";0;0;0
"206";"Algeria";28,0339;1,6596;2020-01-23;"Algeria";0;0;0
"207";"Algeria";28,0339;1,6596;2020-01-24;"Algeria";0;0;0
"208";"Algeria";28,0339;1,6596;2020-01-25;"Algeria";0;0;0
"209";"Algeria";28,0339;1,6596;2020-01-26;"Algeria";0;0;0
"210";"Algeria";28,0339;1,6596;2020-01-27;"Algeria";0;0;0
"211";"Algeria";28,0339;1,6596;2020-01-28;"Algeria";0;0;0
"212";"Algeria";28,0339;1,6596;2020-01-29;"Algeria";0;0;0
"213";"Algeria";28,0339;1,6596;2020-01-30;"Algeria";0;0;0
"214";"Algeria";28,0339;1,6596;2020-01-31;"Algeria";0;0;0
"215";"Algeria";28,0339;1,6596;2020-02-01;"Algeria";0;0;0
"216";"Algeria";28,0339;1,6596;2020-02-02;"Algeria";0;0;0
"217";"Algeria";28,0339;1,6596;2020-02-03;"Algeria";0;0;0
"218";"Algeria";28,0339;1,6596;2020-02-04;"Algeria";0;0;0
"219";"Algeria";28,0339;1,6596;2020-02-05;"Algeria";0;0;0
"220";"Algeria";28,0339;1,6596;2020-02-06;"Algeria";0;0;0
"221";"Algeria";28,0339;1,6596;2020-02-07;"Algeria";0;0;0
"222";"Algeria";28,0339;1,6596;2020-02-08;"Algeria";0;0;0
"223";"Algeria";28,0339;1,6596;2020-02-09;"Algeria";0;0;0
"224";"Algeria";28,0339;1,6596;2020-02-10;"Algeria";0;0;0
"225";"Algeria";28,0339;1,6596;2020-02-11;"Algeria";0;0;0
"226";"Algeria";28,0339;1,6596;2020-02-12;"Algeria";0;0;0
"227";"Algeria";28,0339;1,6596;2020-02-13;"Algeria";0;0;0
"228";"Algeria";28,0339;1,6596;2020-02-14;"Algeria";0;0;0
"229";"Algeria";28,0339;1,6596;2020-02-15;"Algeria";0;0;0
"230";"Algeria";28,0339;1,6596;2020-02-16;"Algeria";0;0;0
"231";"Algeria";28,0339;1,6596;2020-02-17;"Algeria";0;0;0
"232";"Algeria";28,0339;1,6596;2020-02-18;"Algeria";0;0;0
"233";"Algeria";28,0339;1,6596;2020-02-19;"Algeria";0;0;0
"234";"Algeria";28,0339;1,6596;2020-02-20;"Algeria";0;0;0
"235";"Algeria";28,0339;1,6596;2020-02-21;"Algeria";0;0;0
"236";"Algeria";28,0339;1,6596;2020-02-22;"Algeria";0;0;0
"237";"Algeria";28,0339;1,6596;2020-02-23;"Algeria";0;0;0
"238";"Algeria";28,0339;1,6596;2020-02-24;"Algeria";0;0;0
"239";"Algeria";28,0339;1,6596;2020-02-25;"Algeria";1;0;0
"240";"Algeria";28,0339;1,6596;2020-02-26;"Algeria";0;0;0
"241";"Algeria";28,0339;1,6596;2020-02-27;"Algeria";0;0;0
"242";"Algeria";28,0339;1,6596;2020-02-28;"Algeria";0;0;0
"243";"Algeria";28,0339;1,6596;2020-02-29;"Algeria";0;0;0
"244";"Algeria";28,0339;1,6596;2020-03-01;"Algeria";0;0;0
"245";"Algeria";28,0339;1,6596;2020-03-02;"Algeria";2;0;0
"246";"Algeria";28,0339;1,6596;2020-03-03;"Algeria";2;0;0
"247";"Algeria";28,0339;1,6596;2020-03-04;"Algeria";7;0;0
"248";"Algeria";28,0339;1,6596;2020-03-05;"Algeria";0;0;0
"249";"Algeria";28,0339;1,6596;2020-03-06;"Algeria";5;0;0
"250";"Algeria";28,0339;1,6596;2020-03-07;"Algeria";0;0;0
"251";"Algeria";28,0339;1,6596;2020-03-08;"Algeria";2;0;0
"252";"Algeria";28,0339;1,6596;2020-03-09;"Algeria";1;0;0
"253";"Algeria";28,0339;1,6596;2020-03-10;"Algeria";0;0;0
"254";"Algeria";28,0339;1,6596;2020-03-11;"Algeria";0;0;0
"255";"Algeria";28,0339;1,6596;2020-03-12;"Algeria";4;1;8
"256";"Algeria";28,0339;1,6596;2020-03-13;"Algeria";2;1;0
"257";"Algeria";28,0339;1,6596;2020-03-14;"Algeria";11;1;4
"258";"Algeria";28,0339;1,6596;2020-03-15;"Algeria";11;1;0
"259";"Algeria";28,0339;1,6596;2020-03-16;"Algeria";6;0;0
"260";"Algeria";28,0339;1,6596;2020-03-17;"Algeria";6;0;0
"261";"Algeria";28,0339;1,6596;2020-03-18;"Algeria";14;3;0
"262";"Algeria";28,0339;1,6596;2020-03-19;"Algeria";13;2;20
"263";"Algeria";28,0339;1,6596;2020-03-20;"Algeria";3;2;0
"264";"Algeria";28,0339;1,6596;2020-03-21;"Algeria";49;4;0
"265";"Algeria";28,0339;1,6596;2020-03-22;"Algeria";62;2;33
"266";"Algeria";28,0339;1,6596;2020-03-23;"Algeria";29;0;0
"267";"Algeria";28,0339;1,6596;2020-03-24;"Algeria";34;2;-41
"268";"Algeria";28,0339;1,6596;2020-03-25;"Algeria";38;2;41
"269";"Algeria";28,0339;1,6596;2020-03-26;"Algeria";65;4;-36
"270";"Algeria";28,0339;1,6596;2020-03-27;"Algeria";42;1;0
"271";"Algeria";28,0339;1,6596;2020-03-28;"Algeria";45;3;2
"272";"Algeria";28,0339;1,6596;2020-03-29;"Algeria";57;2;0
"273";"Algeria";28,0339;1,6596;2020-03-30;"Algeria";73;4;6
"274";"Algeria";28,0339;1,6596;2020-03-31;"Algeria";132;9;9
"275";"Algeria";28,0339;1,6596;2020-04-01;"Algeria";131;14;15
"276";"Algeria";28,0339;1,6596;2020-04-02;"Algeria";139;28;0
"277";"Algeria";28,0339;1,6596;2020-04-03;"Algeria";185;19;1
"278";"Algeria";28,0339;1,6596;2020-04-04;"Algeria";80;25;28
"279";"Algeria";28,0339;1,6596;2020-04-05;"Algeria";69;22;0
"280";"Algeria";28,0339;1,6596;2020-04-06;"Algeria";103;21;0
"281";"Algeria";28,0339;1,6596;2020-04-07;"Algeria";45;20;23
"282";"Algeria";28,0339;1,6596;2020-04-08;"Algeria";104;12;124
"283";"Algeria";28,0339;1,6596;2020-04-09;"Algeria";94;30;110
"284";"Algeria";28,0339;1,6596;2020-04-10;"Algeria";95;21;58
"285";"Algeria";28,0339;1,6596;2020-04-11;"Algeria";64;19;55
"286";"Algeria";28,0339;1,6596;2020-04-12;"Algeria";89;18;131
"287";"Algeria";28,0339;1,6596;2020-04-13;"Algeria";69;20;10
"288";"Algeria";28,0339;1,6596;2020-04-14;"Algeria";87;13;90
"289";"Algeria";28,0339;1,6596;2020-04-15;"Algeria";90;10;17
"290";"Algeria";28,0339;1,6596;2020-04-16;"Algeria";108;12;75
"291";"Algeria";28,0339;1,6596;2020-04-17;"Algeria";150;16;63
"292";"Algeria";28,0339;1,6596;2020-04-18;"Algeria";116;3;48
"293";"Algeria";28,0339;1,6596;2020-04-19;"Algeria";95;8;153
"294";"Algeria";28,0339;1,6596;2020-04-20;"Algeria";89;9;52
"295";"Algeria";28,0339;1,6596;2020-04-21;"Algeria";93;8;53
"296";"Algeria";28,0339;1,6596;2020-04-22;"Algeria";99;10;52
"297";"Algeria";28,0339;1,6596;2020-04-23;"Algeria";97;5;151
"298";"Algeria";28,0339;1,6596;2020-04-24;"Algeria";120;8;53
"299";"Algeria";28,0339;1,6596;2020-04-25;"Algeria";129;4;71
"300";"Algeria";28,0339;1,6596;2020-04-26;"Algeria";126;6;29
"301";"Algeria";28,0339;1,6596;2020-04-27;"Algeria";135;7;50
"302";"Algeria";28,0339;1,6596;2020-04-28;"Algeria";132;5;93
"303";"Algeria";28,0339;1,6596;2020-04-29;"Algeria";199;7;51
"304";"Algeria";28,0339;1,6596;2020-04-30;"Algeria";158;6;77
"305";"Algeria";28,0339;1,6596;2020-05-01;"Algeria";148;3;42
"306";"Algeria";28,0339;1,6596;2020-05-02;"Algeria";141;6;51
"307";"Andorra";42,5063;1,5218;2020-01-22;"Andorra";0;0;0
"308";"Andorra";42,5063;1,5218;2020-01-23;"Andorra";0;0;0
"309";"Andorra";42,5063;1,5218;2020-01-24;"Andorra";0;0;0
"310";"Andorra";42,5063;1,5218;2020-01-25;"Andorra";0;0;0
"311";"Andorra";42,5063;1,5218;2020-01-26;"Andorra";0;0;0
"312";"Andorra";42,5063;1,5218;2020-01-27;"Andorra";0;0;0
"313";"Andorra";42,5063;1,5218;2020-01-28;"Andorra";0;0;0
"314";"Andorra";42,5063;1,5218;2020-01-29;"Andorra";0;0;0
"315";"Andorra";42,5063;1,5218;2020-01-30;"Andorra";0;0;0
"316";"Andorra";42,5063;1,5218;2020-01-31;"Andorra";0;0;0
"317";"Andorra";42,5063;1,5218;2020-02-01;"Andorra";0;0;0
"318";"Andorra";42,5063;1,5218;2020-02-02;"Andorra";0;0;0
"319";"Andorra";42,5063;1,5218;2020-02-03;"Andorra";0;0;0
"320";"Andorra";42,5063;1,5218;2020-02-04;"Andorra";0;0;0
"321";"Andorra";42,5063;1,5218;2020-02-05;"Andorra";0;0;0
"322";"Andorra";42,5063;1,5218;2020-02-06;"Andorra";0;0;0
"323";"Andorra";42,5063;1,5218;2020-02-07;"Andorra";0;0;0
"324";"Andorra";42,5063;1,5218;2020-02-08;"Andorra";0;0;0
"325";"Andorra";42,5063;1,5218;2020-02-09;"Andorra";0;0;0
"326";"Andorra";42,5063;1,5218;2020-02-10;"Andorra";0;0;0
"327";"Andorra";42,5063;1,5218;2020-02-11;"Andorra";0;0;0
"328";"Andorra";42,5063;1,5218;2020-02-12;"Andorra";0;0;0
"329";"Andorra";42,5063;1,5218;2020-02-13;"Andorra";0;0;0
"330";"Andorra";42,5063;1,5218;2020-02-14;"Andorra";0;0;0
"331";"Andorra";42,5063;1,5218;2020-02-15;"Andorra";0;0;0
"332";"Andorra";42,5063;1,5218;2020-02-16;"Andorra";0;0;0
"333";"Andorra";42,5063;1,5218;2020-02-17;"Andorra";0;0;0
"334";"Andorra";42,5063;1,5218;2020-02-18;"Andorra";0;0;0
"335";"Andorra";42,5063;1,5218;2020-02-19;"Andorra";0;0;0
